rho, 	 theta, 	 x1 ,	 y1,  	 x2 ,	 y2 
-54.305800795130835 , 0.0 , 137 , 1192 , 137 , -808
-54.305800795130835 , 89.0 , -808 , 155 , 1190 , 120
-54.305800795130835 , 90.0 , -808 , 137 , 1192 , 137
-12.067955732254745 , 90.0 , -808 , 179 , 1192 , 179
54.30580079512197 , 90.0 , -808 , 246 , 1192 , 246
54.30580079512197 , 93.0 , -809 , 193 , 1187 , 298
54.30580079512197 , 179.0 , 120 , -806 , 155 , 1192
60.339778661247124 , 91.0 , -808 , 234 , 1190 , 269
90.5096679918729 , 90.0 , -808 , 282 , 1192 , 282
90.5096679918729 , 91.0 , -809 , 265 , 1190 , 299
90.5096679918729 , 92.0 , -810 , 247 , 1188 , 317
114.64557945637353 , 90.0 , -808 , 306 , 1192 , 306
114.64557945637353 , 91.0 , -809 , 289 , 1189 , 324
120.67955732249868 , 0.0 , 312 , 1192 , 312 , -808
